id,name,artist_name,duration,audio,audiodownload,file_path,genres,shareurl,album_id,album_name,album_image,artist_id,position,license_ccurl,stats_rate_downloads_total,stats_rate_listened_total,stats_playlisted,stats_favorited,stats_likes,stats_dislikes,stats_avgnote,stats_notes
623192,Set Me Free,Chasing Eidolon,337,https://prod-1.storage.jamendo.com/?trackid=623192&format=mp31&from=fx2zOoXUE2fAYmdFdmL7xg%3D%3D%7COETGpZ2wuhKZpNwa%2B6TnQQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/623192/mp31/,,"pop,rock",https://www.jamendo.com/track/623192,72189,Chasing Eidolon,https://usercontent.jamendo.com?type=album&id=72189&width=300&trackid=623192,361898,4,http://creativecommons.org/licenses/by-nc-nd/3.0/,1371835,3551805,840,483,73,1,7.6364,11
1215788,We'll Light The Sky,Lyonn,168,https://prod-1.storage.jamendo.com/?trackid=1215788&format=mp31&from=0xqSciMHRA5xFIjwqv1%2BBg%3D%3D%7CUTQc6xpkHNYY4na459RzTw%3D%3D,https://prod-1.storage.jamendo.com/download/track/1215788/mp31/,,"pop,dreampop",https://www.jamendo.com/track/1215788,145856,We'll Light The Sky,https://usercontent.jamendo.com?type=album&id=145856&width=300&trackid=1215788,440873,2,http://creativecommons.org/licenses/by-nd/3.0/,1467176,4065675,2109,1353,11,2,8,2
1267288,Everything is good,ADDICT SOUND,262,https://prod-1.storage.jamendo.com/?trackid=1267288&format=mp31&from=v5iq9SJ3RA%2FLhhU42Achhw%3D%3D%7CB5802cYnOFvPicSeIsdcww%3D%3D,https://prod-1.storage.jamendo.com/download/track/1267288/mp31/,,"pop,corporate",https://www.jamendo.com/track/1267288,151447,Everything is good,https://usercontent.jamendo.com?type=album&id=151447&width=300&trackid=1267288,451073,4,http://creativecommons.org/licenses/by-nc-nd/3.0/,505920,769599,603,336,4,0,0,0
1093792,Day Free,JekK,197,https://prod-1.storage.jamendo.com/?trackid=1093792&format=mp31&from=qQzLYic%2F5rzoWGx2f%2Fuu%2Fw%3D%3D%7CbWi%2Ffjtj7q2PRCrVvp6v5A%3D%3D,https://prod-1.storage.jamendo.com/download/track/1093792/mp31/,,"pop,dubstep,electronic",https://www.jamendo.com/track/1093792,130370,One Day,https://usercontent.jamendo.com?type=album&id=130370&width=300&trackid=1093792,440692,3,http://creativecommons.org/licenses/by-nc-nd/3.0/,849313,3557599,1360,799,168,7,8.1429,7
435886,i never do what you want  ,Lar Clobsay,298,https://prod-1.storage.jamendo.com/?trackid=435886&format=mp31&from=TSrxOPYlE%2BGch8I7VhZPsg%3D%3D%7CbjTfR4wvSklsc3A%2FUVQkxA%3D%3D,https://prod-1.storage.jamendo.com/download/track/435886/mp31/,,pop,https://www.jamendo.com/track/435886,52815,I never do what you want ,https://usercontent.jamendo.com?type=album&id=52815&width=300&trackid=435886,349911,1,http://creativecommons.org/licenses/by-nc-sa/3.0/,507388,3129330,156,44,10,0,8,2
1087794,Positive Emotions,StereoResonance,175,https://prod-1.storage.jamendo.com/?trackid=1087794&format=mp31&from=ld95gQhitI7P4CCyG6srnA%3D%3D%7CyNlCJiuWcq2jDlJqo7FU0w%3D%3D,https://prod-1.storage.jamendo.com/download/track/1087794/mp31/,,"pop,corporate,electronic",https://www.jamendo.com/track/1087794,129678,Positive Emotions,https://usercontent.jamendo.com?type=album&id=129678&width=300&trackid=1087794,431036,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,167419,719198,2089,762,15,0,8.6667,6
1076489,Bright Future (loop),Akashic Records,181,https://prod-1.storage.jamendo.com/?trackid=1076489&format=mp31&from=D7P41Hza0cN0%2BiFC%2BEILkQ%3D%3D%7CIVmjdKb6gywCu6jPh1f5VQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1076489/mp31/,,"pop,folk,loop",https://www.jamendo.com/track/1076489,128219,Bright Future (happy acoustic pop rock),https://usercontent.jamendo.com?type=album&id=128219&width=300&trackid=1076489,375935,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,57888,181412,670,282,16,0,10,1
1507067,For a Song,Big Infinite,200,https://prod-1.storage.jamendo.com/?trackid=1507067&format=mp31&from=3ma8G2t1F%2BCsEJrlLI1CZw%3D%3D%7CNlcJpOKgtMis8IuNU%2FAxPQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1507067/mp31/,,"pop,singersongwriter",https://www.jamendo.com/track/1507067,220858,For a Song,https://usercontent.jamendo.com?type=album&id=220858&width=300&trackid=1507067,505750,1,http://creativecommons.org/licenses/by/3.0/,49406,475650,75,38,0,0,8,1
1451281,Spring Evening,Serge Quadrado,155,https://prod-1.storage.jamendo.com/?trackid=1451281&format=mp31&from=PXiM%2BHjcQbKABd%2BJWRdFNg%3D%3D%7Ch9NFvHsziCPsi5ByaR4kAA%3D%3D,https://prod-1.storage.jamendo.com/download/track/1451281/mp31/,,"pop,folk",https://www.jamendo.com/track/1451281,408356,Spring Evening,https://usercontent.jamendo.com?type=album&id=408356&width=300&trackid=1451281,457603,1,http://creativecommons.org/licenses/by-nc/3.0/,17053,134986,27,13,0,0,0,0
1193995,Uplifting,StereoResonance,119,https://prod-1.storage.jamendo.com/?trackid=1193995&format=mp31&from=Mt5j5NZdOs8wOwsG4Ab0Gw%3D%3D%7CqSOBSaVeJMVF3dUFVmlIvg%3D%3D,https://prod-1.storage.jamendo.com/download/track/1193995/mp31/,,"pop,corporate",https://www.jamendo.com/track/1193995,143701,StereoResonance #2,https://usercontent.jamendo.com?type=album&id=143701&width=300&trackid=1193995,431036,7,http://creativecommons.org/licenses/by-nc-nd/3.0/,90477,510131,767,333,4,0,7.6,5
1071007,King of the Radio,Backnbloom,236,https://prod-1.storage.jamendo.com/?trackid=1071007&format=mp31&from=cGjU63pX90iTSc7OLOan1w%3D%3D%7C%2BIIQ8rb01%2Ftie7ze%2FHqEvQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1071007/mp31/,,pop,https://www.jamendo.com/track/1071007,126867,Music for the Modern Monkey,https://usercontent.jamendo.com?type=album&id=126867&width=300&trackid=1071007,438400,8,http://creativecommons.org/licenses/by-sa/3.0/,50602,621409,113,45,4,2,4.6667,3
398185,Let's Keep Looking,Jason Silver,218,https://prod-1.storage.jamendo.com/?trackid=398185&format=mp31&from=z7Hz5uOBOrBfZKBoZ4fDvA%3D%3D%7CRF2xvuCi8b32rycT2fzlYQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/398185/mp31/,,"pop,singersongwriter",https://www.jamendo.com/track/398185,49769,12 Girlfriends,https://usercontent.jamendo.com?type=album&id=49769&width=300&trackid=398185,352428,1,http://creativecommons.org/licenses/by-sa/3.0/,74026,1010722,169,55,2,0,8,3
2236788,memories,Offenbach Project,196,https://prod-1.storage.jamendo.com/?trackid=2236788&format=mp31&from=HoHdKuo29%2BqSKNEnXT49Nw%3D%3D%7CbqVHu5geBVnjoGt69rQUGw%3D%3D,https://prod-1.storage.jamendo.com/download/track/2236788/mp31/,,pop,https://www.jamendo.com/track/2236788,595493,Sweet Harmony,https://usercontent.jamendo.com?type=album&id=595493&width=300&trackid=2236788,352416,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,4,200,0,0,0,0,0,0
1576494,Земля простит,Вадим Спирихин,367,https://prod-1.storage.jamendo.com/?trackid=1576494&format=mp31&from=Mj0TAp29KFipudes9dk9cw%3D%3D%7C9vyan3doAPzsH8pvMxeURQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1576494/mp31/,,pop,https://www.jamendo.com/track/1576494,179359,"Там,где кончается небо",https://usercontent.jamendo.com?type=album&id=179359&width=300&trackid=1576494,494084,10,http://creativecommons.org/licenses/by-nc-nd/3.0/,2470,88465,2,0,0,0,4,1
306463,Fairytales,Corvus,233,https://prod-1.storage.jamendo.com/?trackid=306463&format=mp31&from=9p2muzTHr5gS98lQlZ43YQ%3D%3D%7CN6CSGFl8qFRfMB3SutE8Bg%3D%3D,https://prod-1.storage.jamendo.com/download/track/306463/mp31/,,pop,https://www.jamendo.com/track/306463,41640,Beyond imagination,https://usercontent.jamendo.com?type=album&id=41640&width=300&trackid=306463,347808,3,http://creativecommons.org/licenses/by-sa/2.0/fr/,373,3863,71,48,0,0,0,0
97744,REIN - 01 - EST,Rein,245,https://prod-1.storage.jamendo.com/?trackid=97744&format=mp31&from=FGxOhkw%2FUitDCd3YcwWUlw%3D%3D%7CdhJBk746u2%2BYX8t8gBcbmg%3D%3D,https://prod-1.storage.jamendo.com/download/track/97744/mp31/,,pop,https://www.jamendo.com/track/97744,10104,EST!,https://usercontent.jamendo.com?type=album&id=10104&width=300&trackid=97744,336855,1,http://creativecommons.org/licenses/by-nc-nd/2.5/it/,5225,44815,477,257,0,0,0,0
